id,couple_id,season,premier_date,location,name,age,age_difference,gender,job,job_type,decision,split_decision,status,DrPepperSchwartz,DrLoganLevkoff,DrJosephCilona,ChaplainGregEpstein,PastorCalvinRoberson,RachelDeAlto,DrJessicaGriffin,DrVivianaColes,DeVonFranklin,DrPiaHolec
42,21,7,07/10/18,"Dallas, Texas",Dave Flaherty,37,1,M,High yield bond trader,Business/Finance,Yes,FALSE,Divorced,1,0,0,0,1,0,1,0,0,0
43,22,8,01/01/19,"Philadelphia, Pennsylvania",Stephanie Sersen,35,2,F,Financial consultant,Business/Finance,Yes,FALSE,Married,1,0,0,0,1,0,1,0,0,0
44,22,8,01/01/19,"Philadelphia, Pennsylvania",AJ Vollmoeller,37,2,M,President & CEO of a staffing & recruiting company,Business/Finance,Yes,FALSE,Married,1,0,0,0,1,0,1,0,0,0
45,23,8,01/01/19,"Philadelphia, Pennsylvania",Jasmine McGriff,30,7,F,Assistant director,Other,Yes,TRUE,Divorced,1,0,0,0,1,0,1,0,0,0
46,23,8,01/01/19,"Philadelphia, Pennsylvania",Will Guess,37,7,M,Financial analyst,Business/Finance,No,TRUE,Divorced,1,0,0,0,1,0,1,0,0,0
47,24,8,01/01/19,"Philadelphia, Pennsylvania",Kate Sisk,28,3,F,Hotel marketing specialist,Sales/Marketing,No,FALSE,Divorced,1,0,0,0,1,0,1,0,0,0
48,24,8,01/01/19,"Philadelphia, Pennsylvania",Luke Cuccurullo,31,3,M,Civil and environmental engineer,Tech/Science/Engineering,No,FALSE,Divorced,1,0,0,0,1,0,1,0,0,0
49,25,8,01/01/19,"Philadelphia, Pennsylvania",Kristine Killingsworth,29,0,F,Residential real estate agent,Sales/Marketing,Yes,FALSE,Married,1,0,0,0,1,0,1,0,0,0
50,25,8,01/01/19,"Philadelphia, Pennsylvania",Keith Dewar,29,0,M,Kidney dialysis patient care technician,Healthcare,Yes,FALSE,Married,1,0,0,0,1,0,1,0,0,0
51,26,9,06/12/19,"Charlotte, North Carolina",Iris Caldwell,27,0,F,Non-Profit Program Coordinator,Other,Yes,TRUE,Divorced,1,0,0,0,1,0,0,1,0,0
52,26,9,06/12/19,"Charlotte, North Carolina",Keith Manley,27,0,M,Mentor/Coach,Education,No,TRUE,Divorced,1,0,0,0,1,0,0,1,0,0
53,27,9,06/12/19,"Charlotte, North Carolina",Elizabeth Bice,29,6,F,Account Executive,Business/Finance,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
54,27,9,06/12/19,"Charlotte, North Carolina",Jamie Thompson,35,6,M,Financial Technician,Business/Finance,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
55,28,9,06/12/19,"Charlotte, North Carolina",Deonna McNeill,30,2,F,Operations Manager,Business/Finance,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
